ds,yhat,yhat_lower,yhat_upper
2025-01-31,-5844.396750388842,-6149.606699195191,-5506.276088051103
2025-02-28,32415.441083800455,32081.935964810717,32748.9509862495
2025-03-31,20470.336477545658,20167.155187334618,20798.918383503536
2025-04-30,-12626.567520223874,-12931.284533383148,-12295.604822713003
2025-05-31,18532.90263698353,18171.983463713284,18857.857972724956
2025-06-30,55797.13157666611,55234.90747435395,56318.02914234682
2025-07-31,20104.801516086714,19677.821527241194,20456.738813049564
2025-08-31,9445.948627647816,9084.19669949419,9779.022005996712
2025-09-30,20136.66707333696,19680.83400856453,20559.323584013284
2025-10-31,12483.026782970735,12085.264969157322,12878.904206825711
2025-11-30,27917.841762531087,27338.782810793808,28484.84420684656
2025-12-31,17842.37502424418,17373.64006466968,18317.446439063166
